product_name,data_id,itemid,pre_test_info,report_delivery,home_collection_available,price,sample_type,general_faq
Anc Profile,anc-profile,1032,No special preparation is required for the test.,Speak to our customer care,Home Collection Available,800.0,Blood / Urine,"HEMOGLOBIN
 HAEMOGLOBIN

BLOOD GROUP ABO AND RH FACTOR
 A Cells
Anti A
Anti B
Anti D
B Cells
BLOOD GROUP TYPE
Forward Grouping
O Cells
Reverse Grouping
Rh TYPE

GLUCOSE, RANDOM
 GLUCOSE
 RANDOM

HIV RAPID
 HIV RAPID"
Fever Profile,fever-profile,1033,No special preparation is required for the test.,Speak to our customer care,Home Collection Available,840.0,"Blood, Urine","WIDAL TEST ( SLIDE METHOD )
 S.PARATYPHI A `H`
S.PARATYPHI B `H`
SALMONELLA TYPHI `H`
SALMONELLA TYPHI `O`
WIDAL TEST (SLIDE METHOD)

PERIPHERAL SMEAR FOR MALARIAL PARASITE (MP)
 MALARIA PARASITE
PARASITIC INDEX
SPECIES"
Mini Lft,mini-lft,1034,Speak to our customer care,Speak to our customer care,Home Collection Available,700.0,Speak to our customer care,"BILIRUBIN SERUM - TOTAL/DIRECT/INDIRECT
 BILIRUBIN (INDIRECT)
BILIRUBIN CONJUGATED (DIRECT)
BILIRUBIN
 TOTAL

ASPARTATE AMINOTRANSFERASE (AST/SGOT), SERUM
 ASPARTATE AMINOTRANSFERASE (AST/SGOT)

ALANINE AMINOTRANSFERASE (ALT/SGPT), SERUM
 ALANINE AMINOTRANSFERASE (ALT/SGPT)

ALKALINE PHOSPHATASE - SERUM
 ALKALINE PHOSPHATASE"
Boh Profile Mini,boh-profile-mini,1036,Overnight fasting is preferred. Avoid Heparin for 1 day and Oral Anticoagulants for 7 days prior to test. Brief clinical history to be provided.,Speak to our customer care,Home Collection Available,5050.0,Blood,"LUPUS ANTICOAGULANT BY DRVVT
 DRVV CONFIRM (CONTROL)
DRVV CONFIRM (TEST)
DRVV CONFIRM TIME
DRVV SCREEN (TEST)
DRVV SCREEN TIME
DRVV SCREEN/DRVV CONFIRM RATIO
DRVV SREEN (CONTROL)
LUPUS ANTICOAGULANT
MIXING STUDIES
PTT (CONTROL)
PTT (TEST)
PTT (TEST+CONTROL 1:1)

CMV IGM
 CYTOMEGALOVIRUS (CMV) IgM

RUBELLA IGM ANTIBODIES
 RUBELLA IgM ANTIBODIES

TOXOPLASMA IgG ANTIBODIES
 TOXOPLASMA IgG ANTIBODIES

THYROID STIMULATING HORMONE (TSH), SERUM
 THYROID STIMULATING HORMONE (TSH)

ANTI NUCLEAR ANTIBODY (ANA) BY IIF
 ADVISED
ESITIMATED TITER
FLUORESCENCE INTENSITY
FLUORESCENCE PATTERN
RESULT
SUGGESTED ANTIBODY

ANTI CARDIOLIPIN Ab IgG
 ANTI CARDIOLIPIN ANTIBODY IgG

ANTI CARDIOLIPIN Ab IgM
 ANTI CARDIOLIPIN ANTIBODY IgM

HERPES SIMPLEX VIRUS (HSV) TYPE 1 IGM ANTIBODIES
 HERPES SIMPLEX VIRUS (HSV)  TYPE 1 IgM ANTIBODIES

HERPES SIMPLEX VIRUS (HSV) TYPE 2 IGM ANTIBODIES
 HERPES SIMPLEX VIRUS (HSV )TYPE 2 IgM ANTIBODIES"
Surgical Profile (pratibha),surgical-profile-pratibha,1037,Speak to our customer care,Speak to our customer care,Home Collection Available,2950.0,Speak to our customer care,"BILIRUBIN SERUM - TOTAL/DIRECT/INDIRECT
 BILIRUBIN (INDIRECT)
BILIRUBIN CONJUGATED (DIRECT)
BILIRUBIN
 TOTAL

BLEEDING TIME (BT) AND CLOTTING TIME (CT)
 Bleeding Time
Clotting Time

ERYTHROCYTE SEDIMENTATION RATE (ESR)
 ERYTHROCYTE SEDIMENTATION RATE (ESR)

BLOOD GROUP ABO AND RH FACTOR
 A Cells
Anti A
Anti B
Anti D
B Cells
BLOOD GROUP TYPE
Forward Grouping
O Cells
Reverse Grouping
Rh TYPE

GLUCOSE, RANDOM
 GLUCOSE
 RANDOM

UREA - SERUM
 UREA

CREATININE, SERUM
 CREATININE

ELECTROLYTES - SERUM
 CHLORIDE
POTASSIUM
SODIUM

HBS AG SCREENING(RAPID)
 HBS AG SCREENING(RAPID)

HCV Tri Dot
 HCV Tri Dot

HIV RAPID
 HIV RAPID"
Minor Surgical Profile (pratibha),minor-surgical-profile-pratibha,1038,Speak to our customer care,Speak to our customer care,Home Collection Available,800.0,Speak to our customer care,"GLUCOSE, RANDOM
 GLUCOSE
 RANDOM

UREA - SERUM
 UREA

CREATININE, SERUM
 CREATININE"
Pre Operative,pre-operative,1040,Speak to our customer care,Speak to our customer care,Home Collection Available,2250.0,Speak to our customer care,"BLEEDING TIME (BT) AND CLOTTING TIME (CT)
 Bleeding Time
Clotting Time

BLOOD GROUP ABO AND RH FACTOR
 A Cells
Anti A
Anti B
Anti D
B Cells
BLOOD GROUP TYPE
Forward Grouping
O Cells
Reverse Grouping
Rh TYPE

UREA - SERUM
 UREA

CREATININE, SERUM
 CREATININE

HIV RAPID
 HIV RAPID

HBS AG SCREENING(RAPID)
 HBS AG SCREENING(RAPID)

HCV Tri Dot
 HCV Tri Dot

GLUCOSE, RANDOM
 GLUCOSE
 RANDOM"
Acid Fast Stain /afb 3 Day Sample,acid-fast-stain-afb-3-day-sample,1044,No special preparation is required for the test.,Speak to our customer care,Home Collection Available,800.0,Blood / Urine / Fluid,"AFB 1ST DAY SAMPLE
 ACID FAST STAIN /AFB 1st DAY
SAMPLE TYPE

AFB 2ND DAY SAMPLE
 ACID FAST STAIN /AFB 2nd DAY
SAMPLE TYPE

AFB 3RD DAY SAMPLE
 ACID FAST STAIN /AFB 3rd DAY
SAMPLE TYPE"
Pcod Panel Basic,pcod-panel-basic,1045,No special preparation is required for the test.,Speak to our customer care,Home Collection Available,3150.0,Blood,"TESTOSTERONE, TOTAL
 TESTOSTERONE
 TOTAL

17-ALPHA-HYDROXYPROGESTERONE (17-OHP)
 17-ALPHA-HYDROXYPROGESTERONE (17-OHP)

LUTEINIZING HORMONE (LH)
 LH:LUTEINIZING HORMONE

FOLLICLE STIMULATING HORMONE (FSH)
 FOLLICLE STIMULATING HORMONE (FSH)

PROLACTIN
 PROLACTIN

THYROID STIMULATING HORMONE (TSH), SERUM
 THYROID STIMULATING HORMONE (TSH)

GLUCOSE, FASTING
 GLUCOSE
 FASTING"
Pcod Panel Extended,pcod-panel-extended,1046,No special preparation is required for the test.,Speak to our customer care,Home Collection Available,6300.0,Blood,"TESTOSTERONE, TOTAL
 TESTOSTERONE
 TOTAL

17-ALPHA-HYDROXYPROGESTERONE (17-OHP)
 17-ALPHA-HYDROXYPROGESTERONE (17-OHP)

LUTEINIZING HORMONE (LH)
 LH:LUTEINIZING HORMONE

FOLLICLE STIMULATING HORMONE (FSH)
 FOLLICLE STIMULATING HORMONE (FSH)

PROLACTIN
 PROLACTIN

THYROID STIMULATING HORMONE (TSH), SERUM
 THYROID STIMULATING HORMONE (TSH)

GLUCOSE, FASTING
 GLUCOSE
 FASTING

ESTRADIOL (E2)
 ESTRADIOL (E2)

DEHYDROEPIANDROSTERONE SULPHATE - (DHEAS)
 DEHYDROEPIANDROSTERONE SULPHATE - (DHEAS)

IGF1 : INSULIN LIKE GROWTH FACTOR-SERUM
 IGF1 : INSULIN LIKE GROWTH FACTOR-SERUM

CORTISOL, SERUM (MORNING SAMPLE 8 AM)
 CORTISOL  (MORNING SAMPLE  8 AM)"
Pcod Panel Assosiated Risk,pcod-panel-assosiated-risk,1047,No special preparation is required for the test.,Speak to our customer care,Home Collection Available,9350.0,Blood,"TESTOSTERONE, TOTAL
 TESTOSTERONE
 TOTAL

17-ALPHA-HYDROXYPROGESTERONE (17-OHP)
 17-ALPHA-HYDROXYPROGESTERONE (17-OHP)

THYROID STIMULATING HORMONE (TSH), SERUM
 THYROID STIMULATING HORMONE (TSH)

GLUCOSE, FASTING
 GLUCOSE
 FASTING

GLUCOSE CHALLENGE TEST GCT 50GM
 GLUCOSE CHALLENGE TEST GCT 50gm

LIPID PROFILE
 CHOL / HDL RATIO
HDL CHOLESTEROL
LDL CHOLESTEROL
NON-HDL CHOLESTEROL
TOTAL CHOLESTEROL
TRIGLYCERIDES
VLDL CHOLESTEROL

HOMA IR;INSULIN RESISTANCE INDEX
 BETA CELL FUNCTION (%B)
C-PEPTIDE
FASTING GLUCOSE
HOMA INDEX
INSULIN (FASTING)
INSULIN SENSITIVITY (%S)

LUTEINIZING HORMONE (LH)
 LH:LUTEINIZING HORMONE

FOLLICLE STIMULATING HORMONE (FSH)
 FOLLICLE STIMULATING HORMONE (FSH)

PROLACTIN
 PROLACTIN"
Boh Panel Ii,boh-panel-ii,1048,Speak to our customer care,Speak to our customer care,Home Collection Available,9800.0,Speak to our customer care,"THYROID STIMULATING HORMONE (TSH), SERUM
 THYROID STIMULATING HORMONE (TSH)

HBA1C, GLYCATED HEMOGLOBIN
 ESTIMATED AVERAGE GLUCOSE (eAG)
HBA1C
 GLYCATED HEMOGLOBIN

PROTEIN C
 PROTEIN C ACTIVITY

PROTEIN S
 PROTEIN S

ANTI PHOSPHOLIPID ANTIBODY IgM
 ANTI PHOSPHOLIPID ANTIBODY IgM

ANTI CARDIOLIPIN Ab IgM
 ANTI CARDIOLIPIN ANTIBODY IgM

LUPUS ANTICOAGULANT BY DRVVT
 DRVV CONFIRM (CONTROL)
DRVV CONFIRM (TEST)
DRVV CONFIRM TIME
DRVV SCREEN (TEST)
DRVV SCREEN TIME
DRVV SCREEN/DRVV CONFIRM RATIO
DRVV SREEN (CONTROL)
LUPUS ANTICOAGULANT
MIXING STUDIES
PTT (CONTROL)
PTT (TEST)
PTT (TEST+CONTROL 1:1)

TOXOPLASMA IGM ANTIBODIES
 TOXOPLASMA IGM ANTIBODIES

RUBELLA IGM ANTIBODIES
 RUBELLA IgM ANTIBODIES

CMV IGM
 CYTOMEGALOVIRUS (CMV) IgM

HERPES SIMPLEX VIRUS 1+2 IGM AB SERUM
 HERPES SIMPLEX VIRUS 1 & 2 lgM"
Lft Maxima,lft-maxima,1049,No special preparation is required for the test.,Speak to our customer care,Home Collection Available,1350.0,Blood,"LIVER FUNCTION TEST (LFT) WITH GGT
 A/G RATIO
ALANINE AMINOTRANSFERASE (ALT/SGPT)
ALBUMIN
ALKALINE PHOSPHATASE
ASPARTATE AMINOTRANSFERASE (AST/SGOT)
BILIRUBIN (INDIRECT)
BILIRUBIN CONJUGATED (DIRECT)
BILIRUBIN
 TOTAL
GAMMA GLUTAMYL TRANSPEPTIDASE (GGT)
GLOBULIN
PROTEIN
 TOTAL

PROTHROMBIN TIME (PT/INR)
 Control (MNPT)
International Normalized Ratio (INR)
ISI
Prothrombin Index
Prothrombin Time
Ratio

HBS AG SCREENING(RAPID)
 HBS AG SCREENING(RAPID)"
Kft Maxima,kft-maxima,1050,No special preparation is required for the test.,Speak to our customer care,Home Collection Available,2450.0,Blood,"MICROALBUMIN ( MAU)- SPOT URINE
 CREATININE - SPOT URINE
MICROALBUMIN ( MAU)- SPOT URINE
URINE MICROALBUMIN/CREATININE RATIO

RENAL PROFILE/RENAL FUNCTION TEST (RFT/KFT)
 BLOOD UREA NITROGEN
CALCIUM
CHLORIDE
CREATININE
PHOSPHORUS
 INORGANIC
POTASSIUM
SODIUM
UREA
URIC ACID

CYSTATIN C
 CYSTATIN C"
Fever Panel Extended,fever-panel-extended,1051,No special preparation is required for the test.,Speak to our customer care,Home Collection Available,2250.0,Blood / Urine,"ERYTHROCYTE SEDIMENTATION RATE (ESR)
 ERYTHROCYTE SEDIMENTATION RATE (ESR)

WIDAL TEST (TUBE METHOD)
 S.PARATYPHI A `H`
S.PARATYPHI B `H`
SALMONELLA TYPHI `H`
SALMONELLA TYPHI `O`
WIDAL TEST (TUBE METHOD)

DENGUE FEVER NS1 ANTIGEN, RAPID
 DENGUE FEVER NS1 ANTIGEN
 RAPID

ALANINE AMINOTRANSFERASE (ALT/SGPT), SERUM
 ALANINE AMINOTRANSFERASE (ALT/SGPT)

CULTURE AND SENSITIVITY - AEROBIC (BLOOD)
 CULTURE
CULTURE FINAL REPORT
CULTURE PRELIMINARY 1
CULTURE PRELIMINARY 2
EPITHELIAL CELLS
EPITHELIAL CELLS
GRAM STAIN
MICROSCOPY
ORGANISM
ORGANISM
ORGANISMS
OTHERS
PUS CELLS
PUS CELLS
WET MOUNT

PERIPHERAL SMEAR FOR MALARIAL PARASITE (MP)
 MALARIA PARASITE
PARASITIC INDEX
SPECIES"
Vitamin D Panel,vitamin-d-panel,1052,No special preparation is required for the test.,Speak to our customer care,Home Collection Available,4510.0,Blood,"VITAMIN D - 25 HYDROXY (D2+D3)
 VITAMIN D (25 - OH VITAMIN D)

VITAMIN D (1,25 DIHYDROXY CHOLECALCIFEROL)
 VITAMIN D (1
25 DIHYDROXY CHOLECALCIFEROL)"
Thrombophilia Panel I,thrombophilia-panel-i,1053,Speak to our customer care,Speak to our customer care,Home Collection Available,11400.0,Speak to our customer care,"PROTHROMBIN TIME (PT/INR)
 Control (MNPT)
International Normalized Ratio (INR)
ISI
Prothrombin Index
Prothrombin Time
Ratio

ACTIVATED PARTIAL THROMBOPLASTIN TIME (APTT)
 ACTIVATED PARTIAL THROMBOPLASTIN TIME (APTT)
APTT - CONTROL RESULT

PROTEIN C
 PROTEIN C ACTIVITY

PROTEIN S
 PROTEIN S

ANTI THROMBIN III
 ANTI THROMBIN III

LUPUS ANTICOAGULANT BY DRVVT
 DRVV CONFIRM (CONTROL)
DRVV CONFIRM (TEST)
DRVV CONFIRM TIME
DRVV SCREEN (TEST)
DRVV SCREEN TIME
DRVV SCREEN/DRVV CONFIRM RATIO
DRVV SREEN (CONTROL)
LUPUS ANTICOAGULANT
MIXING STUDIES
PTT (CONTROL)
PTT (TEST)
PTT (TEST+CONTROL 1:1)

ANTI PHOSPHOLIPID ANTIBODY IgM
 ANTI PHOSPHOLIPID ANTIBODY IgM"
Diabetes Monitoring Panel,diabetes-monitoring-panel,1054,Any special preparation for the test is not required,Speak to our customer care,Home Collection Available,880.0,Blood,"GLUCOSE, FASTING
 GLUCOSE
 FASTING

GLUCOSE, POST PRANDIAL (PP), 2 HOURS (POST MEAL)
 GLUCOSE
 POST PRANDIAL (PP)
 2 HOURS

HBA1C, GLYCATED HEMOGLOBIN
 ESTIMATED AVERAGE GLUCOSE (eAG)
HBA1C
 GLYCATED HEMOGLOBIN

MICROALBUMIN ( MAU)- SPOT URINE
 CREATININE - SPOT URINE
MICROALBUMIN ( MAU)- SPOT URINE
URINE MICROALBUMIN/CREATININE RATIO"
Boh Panel I,boh-panel-i,1056,Speak to our customer care,Speak to our customer care,Home Collection Available,5250.0,Speak to our customer care,"ANTI PHOSPHOLIPID ANTIBODY IgM
 ANTI PHOSPHOLIPID ANTIBODY IgM

ANTI CARDIOLIPIN Ab IgM
 ANTI CARDIOLIPIN ANTIBODY IgM

LUPUS ANTICOAGULANT BY DRVVT
 DRVV CONFIRM (CONTROL)
DRVV CONFIRM (TEST)
DRVV CONFIRM TIME
DRVV SCREEN (TEST)
DRVV SCREEN TIME
DRVV SCREEN/DRVV CONFIRM RATIO
DRVV SREEN (CONTROL)
LUPUS ANTICOAGULANT
MIXING STUDIES
PTT (CONTROL)
PTT (TEST)
PTT (TEST+CONTROL 1:1)

TOXOPLASMA IGM ANTIBODIES
 TOXOPLASMA IGM ANTIBODIES

RUBELLA IGM ANTIBODIES
 RUBELLA IgM ANTIBODIES

CMV IGM
 CYTOMEGALOVIRUS (CMV) IgM

HERPES SIMPLEX VIRUS 1+2 IGM AB SERUM
 HERPES SIMPLEX VIRUS 1 & 2 lgM"
Boh Panel With Karyotyping,boh-panel-with-karyotyping,1057,Overnight fasting is preferred. Avoid Heparin for 1 day and Oral Anticoagulants for 7 days prior to test. Brief clinical history to be provided.,Speak to our customer care,Home Collection Available,8200.0,Blood,"THYROID STIMULATING HORMONE (TSH), SERUM
 THYROID STIMULATING HORMONE (TSH)

HBA1C, GLYCATED HEMOGLOBIN
 ESTIMATED AVERAGE GLUCOSE (eAG)
HBA1C
 GLYCATED HEMOGLOBIN

ANTI PHOSPHOLIPID ANTIBODY IgM
 ANTI PHOSPHOLIPID ANTIBODY IgM

ANTI CARDIOLIPIN Ab IgM
 ANTI CARDIOLIPIN ANTIBODY IgM

LUPUS ANTICOAGULANT BY DRVVT
 DRVV CONFIRM (CONTROL)
DRVV CONFIRM (TEST)
DRVV CONFIRM TIME
DRVV SCREEN (TEST)
DRVV SCREEN TIME
DRVV SCREEN/DRVV CONFIRM RATIO
DRVV SREEN (CONTROL)
LUPUS ANTICOAGULANT
MIXING STUDIES
PTT (CONTROL)
PTT (TEST)
PTT (TEST+CONTROL 1:1)

CHROMOSOME ANALYSIS, BLOOD
 CHROMOSOME ANALYSIS
 BLOOD

TOXOPLASMA IGM ANTIBODIES
 TOXOPLASMA IGM ANTIBODIES

RUBELLA IGM ANTIBODIES
 RUBELLA IgM ANTIBODIES

CMV IGM
 CYTOMEGALOVIRUS (CMV) IgM

HERPES SIMPLEX VIRUS 1+2 IGM AB SERUM
 HERPES SIMPLEX VIRUS 1 & 2 lgM"
Anemia Panel,anemia-panel,1059,No special preparation is required for the test.,Speak to our customer care,Home Collection Available,2850.0,Blood,"IRON STUDIES (IRON + TIBC)
 % OF SATURATION
IRON
TOTAL IRON BINDING CAPACITY ( TIBC)
TRANSFERRIN

FERRITIN
 FERRITIN

VITAMIN B12
 VITAMIN B12

FOLIC ACID, SERUM
 FOLIC ACID / FOLATE - SERUM"
Thalassemia Profile,thalassemia-profile,1062,No special preparation is required for the test.,Speak to our customer care,Home Collection Available,1900.0,Blood,"ABNORMAL HB STUDIES (HB ELECTROPHORESIS)
 FETAL HEMOGLOBIN (HbF)
HAEMOGLOBIN
HEMOGLOBIN A (HbA)
HEMOGLOBIN A2 (HbA2)
HEMOGLOBIN C (HbC)
HEMOGLOBIN D (HbD)
HEMOGLOBIN E (HbE)
HEMOGLOBIN S (HbS)
INTERPRETATION
MCH
MCHC
MCV
OTHERS
P2 WINDOW
P3 WINDOW
PCV
PERIPHERAL SMEAR FINDING
R.D.W
RBC COUNT

IRON STUDIES (IRON + TIBC)
 % OF SATURATION
IRON
TOTAL IRON BINDING CAPACITY ( TIBC)
TRANSFERRIN

FERRITIN
 FERRITIN"
Master Health Check,master-health-check,1069,Speak to our customer care,Speak to our customer care,Home Collection Available,3500.0,Speak to our customer care,"RENAL PROFILE/RENAL FUNCTION TEST (RFT/KFT)
 BLOOD UREA NITROGEN
CALCIUM
CHLORIDE
CREATININE
PHOSPHORUS
 INORGANIC
POTASSIUM
SODIUM
UREA
URIC ACID

THYROID STIMULATING HORMONE (TSH), SERUM
 THYROID STIMULATING HORMONE (TSH)

VITAMIN D - 25 HYDROXY (D2+D3)
 VITAMIN D (25 - OH VITAMIN D)

LIPID PROFILE
 CHOL / HDL RATIO
HDL CHOLESTEROL
LDL CHOLESTEROL
NON-HDL CHOLESTEROL
TOTAL CHOLESTEROL
TRIGLYCERIDES
VLDL CHOLESTEROL

GLUCOSE, FASTING
 GLUCOSE
 FASTING

LIVER FUNCTION TEST (LFT) WITH GGT
 A/G RATIO
ALANINE AMINOTRANSFERASE (ALT/SGPT)
ALBUMIN
ALKALINE PHOSPHATASE
ASPARTATE AMINOTRANSFERASE (AST/SGOT)
BILIRUBIN (INDIRECT)
BILIRUBIN CONJUGATED (DIRECT)
BILIRUBIN
 TOTAL
GAMMA GLUTAMYL TRANSPEPTIDASE (GGT)
GLOBULIN
PROTEIN
 TOTAL"
Gppl,gppl,1080,No special preparation is required for the test.,Speak to our customer care,Home Collection Available,900.0,Blood,"BLOOD GROUP ABO AND RH FACTOR
 A Cells
Anti A
Anti B
Anti D
B Cells
BLOOD GROUP TYPE
Forward Grouping
O Cells
Reverse Grouping
Rh TYPE

HEMOGLOBIN
 HAEMOGLOBIN

TOTAL LEUCOCYTE COUNT (TLC)
 TOTAL LEUCOCYTE COUNT (TLC)

DIFFERENTIAL LEUCOCYTIC COUNT (DLC)
 ATYPICAL CELLS
BANDS
BASOPHILS
BLASTS
CORRECTED TLC
DIFFERENTIAL LEUCOCYTIC COUNT (DLC)
EOSINOPHILS
LYMPHOCYTES
META-MYELOCYTE
MONOCYTES
MYELOCYTES
NEUTROPHILS
NRBC s/100 WBC
PRO-MYELOCYTES
PROLYMPHOCYTES

ERYTHROCYTE SEDIMENTATION RATE (ESR)
 ERYTHROCYTE SEDIMENTATION RATE (ESR)

GLUCOSE, RANDOM
 GLUCOSE
 RANDOM

(VDRL) RPR QUALITATIVE- SERUM
 (VDRL) RPR QUALITATIVE
TITER"
